"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen","Run 7","Run 7 Pen","Run 8","Run 8 Pen"
"Jashua","Rodriguez","","840","2002 Acura Rsx type s","C2-STX","40.510","33.096","4","61","72","","43.606","1","41.32","1","40.991","1","41.746","1","40.807","2","41.385","","40.51",""
"Gopihath","Ramchand","","344","2002 Honda S2000","STR","40.557","33.702","2","70","73","","49.539","DNF","39.734","DNF","42.044","","41.693","2","40.557","","42.294","","40.659",""
"Brandon","Rowlett","","406","2016 Mazda MX-5","STR","40.603","33.741","3","71","74","","45.558","DNF","42.408","","41.449","","41.958","","41.799","","40.603","","40.839",""
"Drew","Baumbach","","27","2009 Porsche Cayman S","AS","40.802","33.580","2","67","75","","43.004","","43.476","","41.337","","43.257","","42.651","","41.682","","40.802",""
"Kim","John  Crumb","","282","2021 Porsche Cayman GTS","C1-SSR","40.811","34.526","3","75","76","","45.805","","46.599","DNF","41.498","","43.951","","42.069","","40.811","","50.033","DNF"
"David","Parsons","","15","1993 Mazda Miata Black","XB","40.899","34.682","3","76","77","","43.245","","42.404","","41.73","","41.318","","41.97","1","40.899","","40.991",""
"James","Mccarthy","","220","2016 Mazda Miata ND","N","40.936","40.936","2","92","78","","46.32","DNF","43.926","","42.995","","44.22","","42.148","","51.425","RERUN","41.441","","40.936",""
"Gary","Schmidt","","737","2023 Acura Integra","Z-GS","41.437","32.900","19","55","79","","47.404","2","43.546","DNF","42.293","DNF","43.19","","42.968","","42.088","","41.437",""
"Nick","Wernet","206","206","2006 Chevrolet Corvette Z06","CAMS","41.611","35.161","3","79","80","","47.292","","44.223","","42.095","","119.661","DNF","42.771","","41.611","","87.229","DNF"
"Kyle","Towberman","","333","2020 Mazda MX-5 RF GT-S","XB","41.794","35.441","4","81","81","","45.384","DNF","42.062","DNF","41.331","DNF","42.793","2","43.489","","48.605","1","41.794",""
"Courtney","Sampson","","315","2015 Dodge Challenger hellcat","CAMC","41.944","34.687","4","77","82","","46.613","","42.591","","45.886","","45.448","","42.094","1","43.812","","41.944",""
"Jackson","Fulton","","355","1993 Chevrolet Camaro","N","42.186","42.186","3","93","83","","46.952","DNF","44.505","","43.873","","43.581","","42.712","","44.272","","42.186",""
"Carter","Smith","","710","1990 Nissan 300zx","N","42.420","42.420","4","94","84","","47.28","","43.947","","41.781","2","44.496","1","43.772","1","42.443","","42.42",""
"Jeff","Lawrence","","193","2002 Chevrolet Corvette Z06","AS","42.473","34.955","3","78","85","","46.836","DNF","44.368","","43.237","","44.431","","47.712","DNF","43.412","","42.473",""
"Steve","Church","","292","1993 Mazda Miata","N","42.631","42.631","5","95","86","","44.95","","47.814","2","44.182","1","42.755","","47.463","DNF","42.631","","42.961","1"
"Jason","Voytovich","180","180","1984 Toyota Celica Supra","HS","42.806","33.645","1","68","87","","47.351","","45.177","","43.826","","44.039","2","43.177","1","43.596","","42.806",""
"Sean","Jones","","722","2015 Mitsubishi Lancer","N","42.829","42.829","6","96","88","","44.46","","42.131","1","42.869","4","44.347","1","42.829","","43.713","1","43.887","1"
"Zach","Bremer","","337","1997 Mazda Miatas","N","42.911","42.911","7","97","89","","45.332","","43.421","","42.907","1","55.863","","42.911","","43.452","","43.717",""
"Eric","Schroeder","","335","2011 Chevrolet Camaro","CAMC","42.957","35.525","5","82","90","","46.363","1","44.997","","46.432","1","43.321","","44.45","","43.08","","42.957",""
"Carson","Turnquist","","511","2015 Ford Mustang GT","CAMC","42.964","35.531","6","83","91","","45.671","","44.017","DNF","42.964",""
"Christopher","Stromme","","54","1999 Saab 9-3 Convertible SE Black","N","43.131","43.131","8","98","92","","45.718","1","45.382","1","44.426","","45.447","1","44.595","1","43.131","","43.944","1"
"Andrew","Deck","","238","2003 Toyota MR2","Z-ES","43.137","34.164","21","73","93","","58.176","","44.366","","43.137",""
"Ian","Mangan","","787","2013 Volkswagen Jetta","HS","43.755","34.391","2","74","94","","45.399","2","45.349","","43.955","","43.954","","44.011","","44.301","1","43.755",""
"Brian","Bachman","","704","2007 Volvo S60","N","43.924","43.924","9","99","95","","49.874","","46.192","","45.393","","44.396","","43.924","","44.525","","45.025","2"
"Dennis","OMeara","","611","2011 Chevrolet Corvette","AS","44.053","36.255","4","86","96","","47.632","1","41.847","DNF","43.719","DNF","45.697","1","44.519","","44.053","","52.641","DNF"
"Victor","Gao","","216","2016 Volkswagen Gti","N","44.390","44.390","10","100","97","","51.01","","48.15","","45.563","","46.769","","44.983","1","45.26","1","44.39",""
"Ed","Wildeman","","200","2015 Mini Cooper S","C1-DS","44.496","35.952","4","85","98","","48.361","1","45.896","","44.415","DNF","45.37","1","45.29","","45.478","","44.496",""
"Phillip","Dawson","","279"," MG Midget","V","44.832","44.832","3","101","99","","5.901","RERUN","51.493","","47.615","","48.375","","48.418","1","44.832","","45.163","DNF","45.319",""
"Oliver","Moore","","747","2013 Mini Cooper S","N","46.391","46.391","11","102","100","","67.744","","56.84","","52.921","","50.322","","48.515","","46.902","1","46.391",""
"Gordon","Handeland","","67","2002 Mini R50 Cooper Base","HS","47.571","37.390","3","87","101","","51.478","","49.417","","47.512","DNF","49.332","","50.231","","47.571","","47.85",""
"Patrick","Olheiser","","299","2004 Chevrolet corvette","C2-STU","48.247","40.045","8","90","102","","53.36","DNF","51.027","","49.388","","48.247","","51.059","","49.826","","49.148",""
"Brady","Dilks","","927","2015 Chevrolet Camaro SS","N","49.374","49.374","12","103","103","","60.837","","57.206","","56.422","","50.979","","50.602","","51.912","DNF","49.374",""
"Colin","Foss","","586","1986 Toyota MR2 Red","N","52.071","52.071","13","104","104","","59.869","","62.539","","53.172","","56.897","1","67.583","3","57.12","","52.071",""
"Dean","Borris","","741","1963 Lotus Lotus 7","N","54.239","54.239","14","105","105","","56.485","DNF","55.606","DNF","57.415","1","53.632","DNF","54.239","","52.366","DNF"
"Jonathan","Foss","","921","2015 Chevy Camero","N","54.662","54.662","15","106","106","","79.243","","58.949","","61.448","DNF","51.488","DNF","51.897","DNF","52.662","1","53.142","1"
"Daniel","Personius","","500"," BMW 318ti red","XA","-","-","-","-","-",""
"Andy","Naughton","","812","1994 Mazda Miata White","INVALID:Z","-","-","-","-","-",""
"Danny","Hagford","","170","2000 Mazda Miata White","STR","-","-","-","-","-",""
"Jose","Fischer","","44","2021 Mini Cooper SE Grey","N","-","-","-","-","-",""
"Thomas","Haider","","104","2022 Ford Shelby GT 500 gray","INVALID:CAMC","-","-","-","-","-",""
"Quincy","Tambo","","792","2021 BMW M2C ","INVALID:Z","-","-","-","-","-",""
"Max","Otzenberger","","757","2013 Mini Cooper S White","N","-","-","-","-","-",""
"Ryan","Thompson","","34","2016 Ford Focus ST Stripes","INVALID:P","-","-","-","-","-",""
"Brandon","Cottrell","","0403","2021 Toyota Supra","XA","-","-","-","-","-",""
"Giuseppe","Pellizzer","","081","1999 Mazda 10AE Miata","Z-ES","-","-","-","-","-",""
"Mark","Hagemann","","163","1963 Chevrolet corvette","V","-","-","-","-","-",""
"Christopher","Stromme","","054","1999 Saab 9-3 Convertible SE","N","-","-","-","-","-",""
"Shannon","Bros","","270","2017 Toyota 86 Blue","N","-","-","-","-","-",""
"Peter","Nolden","","726","2020 Mazda MX-5 Club Grey","CS","-","-","-","-","-",""
"Randy","Cameron","","738","2012 Ford Mustang Boss 302 White","INVALID:CAMC","-","-","-","-","-",""
"Brian","Ksicinski","","16","1999 Mazda Miata MarshmalloWhite","INVALID:P","-","-","-","-","-",""
"Carl","Stine","","379"," MG Midget","N","DNF","-","-","-","-","","60.848","DNF","56.873","DNF","58.099","DNF"
"Corey","Claflin","1","719","2006 BMW M5 Black","N","-","-","-","-","-",""
"David","Parsons","","015","1993 Mazda Miata","XB","-","-","-","-","-",""
"Bob","Bergsgaard","","518","1975 BMW 2002 White/Gray","HCS","-","-","-","-","-",""
"Sr.","Piero Pucci","","214","2000 Honda S2000 ","XA","-","-","-","-","-",""
